area,perimetro,maior-eixo,menor-eixo,arredondamento,area-convexa,extensao,classe
12243,449.680999755859,182.02619934082,87.13170623779301,0.8779911994934079,12744,0.7785691618919369,1
12886,455.518005371094,189.859893798828,87.4991836547852,0.8874719142913822,13080,0.592296361923218,0
12796,471.20901489257795,203.929626464844,80.3300094604492,0.919148862361908,13022,0.6840586066246029,0
9983,402.661987304688,167.374954223633,76.7659606933594,0.888618767261505,10187,0.59692656993866,1
14837,499.83200073242205,210.067245483398,91.26864624023442,0.900684654712677,15263,0.6800971627235409,0
15809,521.497009277344,224.52165222168,90.6051177978516,0.9149587750434879,16150,0.5646071434020999,0
10864,426.578002929687,174.110137939453,81.1230545043945,0.8848218321800229,11170,0.578118324279785,1
13237,466.002990722656,197.90480041503898,85.7095718383789,0.9013531804084781,13445,0.5924185514450071,0
13973,474.007995605469,192.34928894043,93.77914428710942,0.8730972409248349,14354,0.6141977906227111,0
12465,451.515014648438,190.454940795898,84.1636962890625,0.8970600366592411,12640,0.5959552526474,1
16453,523.8740234375,222.312194824219,96.1785202026367,0.901572465896606,16803,0.754724740982056,0
12076,452.54299926757795,188.359161376953,82.79437255859371,0.898215293884277,12367,0.7058686017990109,1
11227,427.81100463867205,179.55543518066398,80.320182800293,0.8943699598312379,11430,0.5927040576934809,1
15330,501.69699096679705,209.67932128906202,93.8727264404297,0.894185483455658,15617,0.582623898983002,0
10993,422.515014648438,174.53636169433602,80.9679489135742,0.885886013507843,11179,0.664912581443787,1
14166,483.704986572266,204.62731933593702,88.9923629760742,0.900478899478912,14412,0.766061007976532,0
10610,410.506011962891,171.156173706055,79.3459548950195,0.8860508799552921,10769,0.825103044509888,0
11422,429.204986572266,178.558975219727,82.3875427246094,0.887190937995911,11668,0.6855942606925961,1
8328,369.73800659179705,152.565856933594,70.568603515625,0.886595726013184,8579,0.5844210386276251,1
11846,437.346984863281,182.628814697266,82.9129638671875,0.891003131866455,12019,0.579323172569275,1
14415,490.066009521484,206.539245605469,90.0175323486328,0.9000254273414608,14671,0.653326690196991,0
11465,423.787994384766,174.072967529297,84.7395477294922,0.873510777950287,11673,0.7338069677352909,1
12260,453.572998046875,193.161331176758,81.175537109375,0.9074096083641049,12508,0.574158191680908,1
11969,431.128997802734,177.243316650391,86.8384323120117,0.871756672859192,12135,0.602790117263794,1
14982,505.078002929688,217.364990234375,88.5952301025391,0.9131662249565121,15325,0.5592384934425351,0
11502,423.83200073242205,167.89208984375,88.34923553466801,0.85034453868866,11770,0.627598643302918,1
12345,438.024993896484,177.279220581055,89.73426055908199,0.862430989742279,12586,0.621413469314575,1
11945,414.14599609375,162.352783203125,94.9472808837891,0.811162531375885,12106,0.79776930809021,1
15557,509.02200317382795,211.933547973633,94.7585983276367,0.8944766521453861,16075,0.643117010593414,0
12058,433.390014648438,175.536026000977,88.4516067504883,0.863765299320221,12283,0.6860491633415219,1
11536,426.851989746094,172.189071655273,87.07992553710942,0.8626960515975949,11891,0.6058823466300961,1
12415,438.996002197266,181.10888671875,88.23397827148442,0.873297393321991,12586,0.601618528366089,1
10326,427.725006103516,174.47438049316398,77.7337341308594,0.8952665328979491,10691,0.6070546507835389,1
10655,417.973999023438,177.50758361816398,77.1575927734375,0.9005888104438778,10822,0.7335628271102909,1
14294,484.194000244141,205.12840270996102,89.00131225585942,0.9009702205657959,14542,0.7044502496719359,0
11465,419.59500122070295,167.98751831054702,88.0777969360352,0.851526498794556,11685,0.753780424594879,1
14132,482.368988037109,205.20066833496102,88.2963638305664,0.9026893973350529,14341,0.5860981941223139,0
10855,417.316986083984,167.33801269531298,84.2298049926758,0.8640818595886229,11135,0.604836463928223,1
13650,475.242004394531,199.326080322266,87.9747085571289,0.897329747676849,13859,0.572135150432587,0
16053,523.840026855469,220.913772583008,93.8916778564453,0.905186295509338,16496,0.747973144054413,0
12907,465.34201049804705,195.654968261719,84.8821792602539,0.900991857051849,13151,0.573338687419891,0
14314,484.73098754882795,206.865539550781,88.56289672851558,0.903722763061523,14536,0.753368437290192,0
13683,481.57101440429705,206.92677307128898,84.89906311035159,0.911957144737244,13922,0.7621992230415341,0
