area,perimetro,maior-eixo,menor-eixo,arredondamento,area-convexa,extensao
11445,426.180999755859,172.97737121582,86.0035400390625,0.867638647556305,11734,0.611378192901611
13607,461.05099487304705,190.514343261719,91.71279907226558,0.876503348350525,13772,0.609141349792481
14906,497.825012207031,211.341903686523,90.6529541015625,0.903333067893982,15150,0.597482740879059
10249,404.088989257813,165.68244934082,80.38426208496091,0.874419450759888,10486,0.6714491844177249
13728,488.101989746094,208.97412109375,84.64085388183591,0.9143032431602479,14052,0.557935357093811
13446,476.0419921875,200.052673339844,86.5904769897461,0.901471555233002,13814,0.603934586048126
14998,496.903991699219,215.950271606445,89.39608764648442,0.9102923274040219,15279,0.8248363733291629
15809,517.232971191406,222.42066955566398,91.56285858154301,0.911335110664368,16025,0.556890249252319
15032,500.609008789063,209.916534423828,91.9253921508789,0.8990168571472171,15397,0.718924880027771
14025,475.95700073242205,197.391906738281,91.7545623779297,0.885397613048553,14423,0.679901123046875
12271,443.786987304688,179.837692260742,87.74169158935551,0.8729029893875121,12510,0.623526394367218
14994,508.307006835938,215.56980895996102,89.61988067626949,0.9094858765602108,15246,0.55076402425766
13568,484.648010253906,208.07209777832,83.6961975097656,0.915531575679779,13962,0.7879210114479069
13680,473.085998535156,194.940383911133,91.2250518798828,0.883747637271881,14077,0.7794871926307679
10539,420.63699340820295,174.81980895996102,77.6350402832031,0.8959841132164,10775,0.66270512342453
10695,406.450988769531,164.570297241211,84.04563903808591,0.8597604632377621,10930,0.61233252286911
10271,415.539001464844,177.822235107422,74.3962783813477,0.9082746505737309,10422,0.56608247756958
12440,434.804992675781,173.392791748047,92.6904830932617,0.8451246023178101,12716,0.680339097976685
14263,490.75100708007795,203.77844238281202,90.2658843994141,0.8965409398078922,14779,0.731548428535461
15341,504.463012695313,210.87219238281298,93.98657989501949,0.8951804041862491,15628,0.768972456455231
12768,450.600006103516,188.643356323242,86.6671600341797,0.888217389583588,12961,0.7981995344161991
11549,432.622985839844,170.756790161133,88.04955291748051,0.8568035364151,11910,0.6222521662712099
15907,527.3499755859381,226.893005371094,90.79046630859379,0.9164511561393741,16288,0.573845624923706
13344,469.528015136719,196.687896728516,87.3816375732422,0.8958951830863949,13609,0.599137902259827
12763,454.902008056641,185.225372314453,89.68470001220699,0.874961614608765,13081,0.6227068901062011
13200,477.851013183594,202.596954345703,83.68836975097659,0.910695612430573,13585,0.641399443149567
13503,477.243988037109,201.17170715332,87.36241912841801,0.900783777236939,13743,0.563188195228577
14982,505.078002929688,217.364990234375,88.5952301025391,0.9131662249565121,15325,0.5592384934425351
11768,433.48001098632795,179.834274291992,83.9647445678711,0.8843097686767579,11993,0.7556668519973759
11359,441.36599731445295,185.197708129883,78.9822311401367,0.9044992327690121,11755,0.5807259678840639
11342,429.781005859375,179.138137817383,81.868049621582,0.8894611597061161,11532,0.578939318656921
13077,472.90499877929705,203.445068359375,82.57012939453121,0.9139354228973392,13405,0.627374768257141
14092,499.4169921875,210.96301269531202,86.7967300415039,0.9114409089088441,14618,0.77292674779892
11975,434.911010742188,176.540283203125,87.28521728515629,0.8692225813865658,12216,0.7603174448013309
14106,485.579986572266,199.92106628418,91.5904159545898,0.8888837099075321,14515,0.576225519180298
13244,467.64401245117205,193.42497253418,88.63653564453129,0.888824582099915,13672,0.7979274392127991
10629,416.890014648438,172.19091796875,79.6741180419922,0.886510729789734,10819,0.694932997226715
11509,435.867004394531,178.424453735352,83.85386657714841,0.8826832175254821,11792,0.58465838432312
10523,429.057006835938,173.88426208496102,78.8567886352539,0.8912554979324341,11003,0.58656632900238
12473,470.339996337891,202.442825317383,79.024299621582,0.9206649661064151,12806,0.525976240634918
14359,506.088989257813,223.260848999023,82.48140716552741,0.9292547106742859,14698,0.5378708243370061
12590,447.53201293945295,180.024459838867,89.9745941162109,0.866146087646484,12875,0.669111371040344
12396,443.153991699219,184.801834106445,86.46865844726558,0.883781731128693,12546,0.5870985984802249
14938,502.68701171875,209.644729614258,92.0359649658203,0.8984825611114499,15331,0.6352000832557679
10557,412.66799926757795,168.808578491211,80.59271240234379,0.878674805164337,10778,0.616071403026581
12837,464.768005371094,194.300720214844,85.3318405151367,0.8984019756317142,13053,0.584270179271698
13241,458.010986328125,184.91423034668,93.2013092041016,0.863689363002777,13560,0.7781042456626891
11700,436.92898559570295,179.574844360352,83.9839553833008,0.883896708488464,11980,0.738543093204498
13576,477.825012207031,190.02635192871102,91.8210983276367,0.8755089640617371,14137,0.683275461196899
12331,431.364013671875,177.130477905273,89.4249649047852,0.8632049560546879,12502,0.747786521911621
10590,412.506988525391,173.711242675781,78.52342224121091,0.8920006155967709,10743,0.783921837806702
14851,517.346984863281,217.698394775391,88.8102493286133,0.913003861904144,15256,0.728061556816101
11529,420.455993652344,168.257461547852,88.4854965209961,0.850550472736359,11748,0.710088670253754
14634,501.122009277344,214.106781005859,87.7682876586914,0.9121180772781371,14954,0.693258821964264
12279,462.006011962891,197.846252441406,80.5420608520508,0.913386166095734,12619,0.6369436383247379
12330,433.069000244141,173.93455505371102,91.4620513916016,0.8505824208259579,12550,0.684239745140076
16454,518.1090087890631,217.098526000977,97.7806930541992,0.892827987670898,16893,0.7971899509429928
11139,423.32400512695295,173.076705932617,82.6897506713867,0.878488421440125,11380,0.7164265513420109
10588,404.32400512695295,163.66207885742202,83.9691543579102,0.858350217342377,10756,0.6148664355278021
11792,427.78298950195295,180.87174987793,83.2707824707031,0.8877189755439759,11923,0.718323588371277
15813,495.268005371094,203.794677734375,99.6876907348633,0.872195482254028,16095,0.735248982906342
11703,422.05300903320295,166.010406494141,91.1249542236328,0.835880696773529,12023,0.653762340545654
12093,440.43798828125,176.48048400878898,88.96029663085942,0.863656938076019,12421,0.6222599744796751
13537,467.587005615234,199.573150634766,86.72982788085942,0.90063488483429,13745,0.73062390089035
11780,444.992004394531,190.96028137207,78.8517379760742,0.9107663035392758,11956,0.7807011604309079
12101,435.92898559570295,178.397323608398,86.9837646484375,0.873075842857361,12302,0.74057525396347
13857,498.028991699219,220.266571044922,80.3995819091797,0.931003451347351,14053,0.5079545378685
12820,467.35299682617205,197.33740234375,83.9720687866211,0.904946506023407,13104,0.5568344593048101
15216,500.368011474609,208.228424072266,94.30258178710942,0.891571223735809,15558,0.573042571544647
12975,463.851013183594,196.423965454102,85.0641174316406,0.9013632535934449,13358,0.6091263294219971
12726,434.77200317382795,175.731750488281,93.3085098266602,0.847389817237854,12896,0.808000028133392
11675,429.130004882813,173.41819763183602,86.8340606689453,0.865608990192413,11888,0.737337350845337
11149,411.308990478516,164.672286987305,87.50299072265621,0.847135722637177,11393,0.759210050106049
10891,406.57101440429705,159.86882019043,87.57321166992192,0.836621344089508,11103,0.675955832004547
16226,524.205017089844,216.873260498047,96.65367889404301,0.895197868347168,16748,0.6486248970031739
15762,507.640991210937,205.600555419922,99.3208465576172,0.8755780458450321,16261,0.663635194301605
