nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
TalkMan (Japan),PSP,Misc,Sony Computer Entertainment,0.18,,,,,,
Iron Man,PSP,Action,Sega,0.61,2-May-08,44.0,7.0,7.2,13.0,Artificial Mind and Movement
Brutal Legend,X360,Action,Electronic Arts,0.93,13-Oct-09,82.0,88.0,8.1,232.0,Double Fine Productions
Golden Axe: Beast Rider,PS3,Action,Sega,0.31,14-Oct-08,44.0,30.0,5.1,18.0,Secret Level
Hasbro Family Game Night 3,PS3,Misc,Electronic Arts,0.22,26-Oct-10,,,tbd,,Electronic Arts
Marvel vs. Capcom 3: Fate of Two Worlds,X360,Fighting,Capcom,1.02,15-Feb-11,85.0,77.0,7,161.0,Capcom
SSX On Tour,PSP,Sports,Electronic Arts,0.22,11-Oct-05,79.0,23.0,8.2,38.0,EA Montreal
Rayman Origins,X360,Platform,Ubisoft,0.69,15-Nov-11,87.0,55.0,8.2,167.0,UBlart Montpellier
Halo 4,X360,Shooter,Microsoft Game Studios,8.94,6-Nov-12,87.0,87.0,6.9,2605.0,343 Industries
SpongeBob's Truth or Square,X360,Action,THQ,0.07,26-Oct-09,,,6.3,9.0,Heavy Iron Studios
Hakuouki: Zuisouroku Portable,PSP,Adventure,Idea Factory,0.09,,,,,,
New Super Mario Bros. Wii,Wii,Platform,Nintendo,27.25,15-Nov-09,87.0,80.0,8.3,446.0,Nintendo
Get Fit with Mel B,Wii,Sports,Black Bean Games,0.07,14-Sep-11,,,tbd,,Lightning Fish Games
Escape The Museum,Wii,Adventure,Majesco Entertainment,0.1,14-Apr-09,,,tbd,,Void Productions
Memories Off 2nd,PSP,Adventure,5pb,0.01,,,,,,
Rubik's World,Wii,Puzzle,Game Factory,0.14,4-Nov-08,64.0,9.0,tbd,,Two Tribes
Food Network: Cook or Be Cooked,Wii,Misc,Namco Bandai Games,0.43,3-Nov-09,53.0,8.0,6.8,5.0,Red Fly Studio
Dead Rising 2: Off the Record,X360,Action,Capcom,0.23,11-Oct-11,72.0,49.0,7.5,49.0,Capcom Vancouver
Pro Yakyuu Spirits 5,PS3,Sports,Konami Digital Entertainment,0.11,,,,,,
Bullet Soul: Tama Tamashii,X360,Shooter,5pb,0.01,,,,,,
Thor: God of Thunder,Wii,Action,Sega,0.13,3-May-11,56.0,14.0,7.8,8.0,Red Fly Studio
EA Sports MMA,PS3,Fighting,Electronic Arts,0.33,19-Oct-10,77.0,47.0,6.6,31.0,EA Tiburon
Earth Defense Force 2017,X360,Shooter,D3Publisher,0.06,20-Mar-07,69.0,55.0,7.6,54.0,Sandlot
Hot Shots Golf: Out of Bounds,PS3,Sports,Sony Computer Entertainment,1.11,18-Mar-08,81.0,66.0,8.7,29.0,Clap Hanz
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,Shooter,Sony Computer Entertainment,0.41,16-Feb-10,74.0,51.0,7.7,17.0,Slant Six
Doom 3 BFG Edition,X360,Shooter,Bethesda Softworks,0.4,16-Oct-12,67.0,30.0,6.3,114.0,id Software
Saki: Achiga-Hen Portable,PSP,Adventure,Alchemist,0.02,,,,,,
Speed Racer: The Videogame,Wii,Racing,Warner Bros. Interactive Entertainment,0.38,,,,,,
Halo Wars,X360,Strategy,Microsoft Game Studios,2.41,3-Mar-09,82.0,92.0,7.1,348.0,Ensemble Studios
Katamari Forever,PS3,Puzzle,Namco Bandai Games,0.33,22-Sep-09,74.0,51.0,8.2,37.0,Bandai Namco Games
Kid Fit Island Resort,Wii,Sports,Avanquest,0.05,26-Oct-10,,,tbd,,Red Wagon
Majin and the Forsaken Kingdom,X360,Adventure,Namco Bandai Games,0.17,23-Nov-10,74.0,46.0,8.6,19.0,Game Republic
Cabela's Big Game Hunter (2008),Wii,Sports,Activision,0.62,13-Nov-07,,,tbd,,MagicWand
Jillian Michaels Fitness Ultimatum 2010,Wii,Sports,Majesco Entertainment,0.54,6-Oct-09,,,tbd,,Collision Studios
Angler's Club: Ultimate Bass Fishing 3D,3DS,Sports,D3Publisher,0.02,30-Aug-11,,,tbd,,Tamsoft
Dragon Ball Z: Battle of Z,X360,Fighting,Namco Bandai Games,0.01,28-Jan-14,54.0,11.0,5.9,16.0,Artdink
Dragon Ball: Raging Blast 2,X360,Fighting,Namco Bandai Games,0.52,2-Nov-10,57.0,33.0,7.1,16.0,Spike
Triple Crown Championship Snowboarding,Wii,Sports,Destineer,0.02,,,,,,
Terraria,PS3,Action,505 Games,0.13,26-Mar-13,81.0,12.0,7.7,51.0,Re-Logic
Kenka Banchou 5: Otoko no Housoku,PSP,Action,Spike,0.14,,,,,,
Hasbro Family Game Night Fun Pack,Wii,Misc,Electronic Arts,0.1,1-Nov-11,,,tbd,,Electronic Arts
Condemned 2: Bloodshot,X360,Shooter,Sega,0.6,11-Mar-08,80.0,76.0,8.6,150.0,Monolith Productions
Vitamin Z Revolution,PSP,Adventure,D3Publisher,0.02,,,,,,
Bakugan Battle Brawlers: Defenders of the Core,X360,Action,Activision,0.12,26-Oct-10,62.0,10.0,tbd,,Now Production
The Adventures of Tintin: The Game,Wii,Action,Ubisoft,0.29,6-Dec-11,,,tbd,,Ubisoft Montpellier
Silent Hill: Downpour,X360,Adventure,Konami Digital Entertainment,0.27,13-Mar-12,68.0,38.0,7.6,190.0,Konami
Shinken de Watashi ni Koi Shinasai! R,PS3,Action,Minato Station,0.02,,,,,,
Turning Point: Fall of Liberty,X360,Shooter,Codemasters,0.28,26-Feb-08,43.0,45.0,6.8,80.0,Spark Unlimited
Transformers: Dark of the Moon,Wii,Action,Activision,0.15,14-Jun-11,34.0,14.0,3.8,4.0,Behaviour Interactive
America's Army: True Soldiers,X360,Shooter,Ubisoft,0.08,15-Nov-07,43.0,11.0,6.6,54.0,Red Storm Entertainment
Namco Museum Megamix,Wii,Misc,Namco Bandai Games,0.14,16-Nov-10,53.0,12.0,tbd,,Namco Bandai Games America
Far Cry 3,PS3,Shooter,Ubisoft,2.67,4-Dec-12,90.0,32.0,8.5,717.0,Ubisoft Montreal
Endless Ocean,Wii,Adventure,Nintendo,1.03,21-Jan-08,72.0,42.0,8.3,55.0,Arika
MonHun Nikki: Poka Poka Ailu Mura,PSP,Role-Playing,Capcom,0.6,,,,,,
Rolling Stone: Drum King,Wii,Misc,505 Games,0.09,,,,,,
Marvel Super Hero Squad,Wii,Adventure,THQ,0.34,20-Oct-09,49.0,16.0,7.1,10.0,Blue Tongue Entertainment
Suigetsu Portable,PSP,Adventure,GN Software,0.01,,,,,,
Petz: Crazy Monkeyz,Wii,Simulation,Ubisoft,0.23,18-Nov-08,,,tbd,,Ubisoft
Final Fantasy II Anniversary Edition,PSP,Role-Playing,Square Enix,0.47,24-Jul-07,63.0,31.0,7.2,15.0,TOSE
Demon Gaze,PSV,Role-Playing,Nippon Ichi Software,0.07,22-Apr-14,,,,,Experience Inc.
MotorStorm: Arctic Edge,PSP,Racing,Sony Computer Entertainment,0.99,29-Sep-09,79.0,58.0,8.8,26.0,Bigbig Studios
Summon Night 4,PSP,Role-Playing,Namco Bandai Games,0.07,,,,,,
One Piece Unlimited World: Red,3DS,Action,Namco Bandai Games,0.23,,,,,,
MX vs. ATV Untamed,PSP,Racing,THQ,0.63,17-Dec-07,59.0,12.0,tbd,,Rainbow Studios
Kokuga,3DS,Action,G.Rev,0.01,27-Jun-13,77.0,14.0,7.1,15.0,G.Rev
Fairy Tail: Zelef Kakusei,PSP,Action,Konami Digital Entertainment,0.07,,,,,,
Ben 10 Ultimate Alien: Cosmic Destruction,Wii,Platform,D3Publisher,0.27,5-Oct-10,,,tbd,,Papaya Studios
NBA 08,PSP,Sports,Sony Computer Entertainment,0.03,12-Oct-07,75.0,18.0,7.4,7.0,SCEA
pro evolution soccer 2011,PS3,Sports,Konami Digital Entertainment,2.38,19-Oct-10,77.0,41.0,6.7,70.0,Konami
Pro Evolution Soccer 2013,X360,Sports,Konami Digital Entertainment,0.26,25-Sep-12,82.0,33.0,6.8,66.0,Konami
Battlefield: Bad Company,PS3,Shooter,Electronic Arts,1.28,23-Jun-08,84.0,50.0,8.1,165.0,EA DICE
Star Wars: The Force Unleashed II,PS3,Action,LucasArts,1.33,26-Oct-10,63.0,41.0,7,85.0,LucasArts
World Series of Poker 2008: Battle for the Bracelets,PS3,Misc,Activision,0.1,25-Sep-07,75.0,6.0,tbd,,Left Field Productions
Call of Duty: World at War,PS3,Shooter,Activision,5.11,10-Nov-08,85.0,45.0,7.3,289.0,Treyarch
LEGO Harry Potter: Years 5-7,3DS,Action,Warner Bros. Interactive Entertainment,0.3,11-Nov-11,71.0,7.0,5.7,6.0,Traveller's Tales
We Sing Deutsche Hits,Wii,Misc,Nordic Games,0.26,,,,,,
Harry Potter and the Deathly Hallows - Part 2,Wii,Action,Electronic Arts,0.3,12-Jul-11,47.0,6.0,6.6,5.0,
PANGYA: Fantasy Golf,PSP,Sports,Takara Tomy,0.13,23-Jun-09,77.0,16.0,9.3,6.0,Ntreev Soft
Nickelodeon Dance,Wii,Misc,Take-Two Interactive,0.22,8-Nov-11,,,tbd,,High Voltage Software
Mushi Bugyou,3DS,Action,Namco Bandai Games,0.01,,,,,,
Let's Paint,Wii,Simulation,Zoo Games,0.06,,,,,,
S.Y.K Renshouden Portable,PSP,Adventure,Idea Factory,0.04,,,,,,
NBA Jam,PS3,Sports,Electronic Arts,0.32,15-Nov-10,71.0,33.0,5.7,14.0,EA Canada
Shawn Johnson Gymnastics,Wii,Sports,Zoo Games,0.15,16-Nov-10,,,tbd,,Zoo Games
Petz Fantasy 3D,3DS,Simulation,Ubisoft,0.06,21-Jun-11,,,tbd,,Ubisoft
Skate City Heroes,Wii,Sports,Zoo Digital Publishing,0.11,24-Nov-08,59.0,6.0,tbd,,Zeroscale
Family Fortunes,Wii,Misc,Mindscape,0.13,,,,,,
Warhammer: Battle For Atluma,PSP,Action,Namco Bandai Games,0.04,14-Nov-06,55.0,8.0,7.3,6.0,JV Games Inc.
Ys vs. Sora no Kiseki: Alternative Saga,PSP,Action,Falcom Corporation,0.06,,,,,,
Plants vs. Zombies,PS3,Strategy,PopCap Games,0.15,8-Feb-11,85.0,8.0,7.7,46.0,PopCap
Crush3D,3DS,Platform,Sega,0.08,6-Mar-12,71.0,32.0,7.5,12.0,Zoe Mode
NHL 2K7,X360,Sports,Take-Two Interactive,0.08,12-Sep-06,78.0,51.0,7.9,165.0,Kush Games
Rayman Legends,PS3,Platform,Ubisoft,0.31,3-Sep-13,91.0,24.0,8.6,226.0,Ubisoft Montpellier
Dance Dance Revolution: Hottest Party 2,Wii,Simulation,Konami Digital Entertainment,1.55,12-Sep-08,69.0,8.0,6.8,6.0,Konami
Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,Misc,Take-Two Interactive,0.25,3-Nov-09,,,tbd,,Take-Two Interactive
Gal Gun,PS3,Shooter,Alchemist,0.02,,,,,,
Shaun White Skateboarding,Wii,Sports,Ubisoft,0.15,24-Oct-10,59.0,6.0,tbd,,Ubisoft Montreal
NBA 2K14,XOne,Sports,Take-Two Interactive,0.46,12-Nov-13,86.0,15.0,5.4,113.0,Visual Concepts
ESPN: Sports Connection,WiiU,Sports,Ubisoft,0.16,13-Nov-12,31.0,13.0,2.4,15.0,Ubisoft
Harry Potter and the Order of the Phoenix,PSP,Adventure,Electronic Arts,0.36,25-Jun-07,52.0,11.0,8.1,18.0,EA Games
Asphalt: Injection,PSV,Action,Ubisoft,0.16,15-Feb-12,49.0,33.0,4.2,21.0,Ubisoft
Press Your Luck 2010 Edition,Wii,Misc,Ubisoft,0.35,27-Oct-09,,,tbd,,Ludia Inc.
Metro: Last Light,X360,Shooter,Deep Silver,0.27,14-May-13,80.0,20.0,8.5,386.0,4A Games
Hitman: Blood Money,X360,Action,Eidos Interactive,0.36,30-May-06,82.0,53.0,8.9,67.0,Io Interactive
Turning Point: Fall of Liberty,PS3,Shooter,Codemasters,0.23,26-Feb-08,42.0,28.0,5.5,30.0,Spark Unlimited
Mobile Suit Gundam: Gundam vs. Gundam,PSP,Fighting,Namco Bandai Games,0.42,,,,,,
LEGO Indiana Jones: The Original Adventures,X360,Adventure,Activision,3.66,3-Jun-08,77.0,60.0,7.4,42.0,Traveller's Tales
Kamisama to Unemi Kakumei Paradox,PS3,Role-Playing,Nippon Ichi Software,0.07,,,,,,
Dante's Inferno,PSP,Action,Electronic Arts,0.17,1-Mar-10,70.0,14.0,8.3,35.0,EA Redwood Shores
Wicked Monster Blast!,Wii,Shooter,PQube,0.02,,,,,,
Active Life Explorer,Wii,Sports,Namco Bandai Games,0.13,19-Oct-10,,,tbd,,h.a.n.d. Inc.
Bigfoot: Collision Course,Wii,Racing,Zoo Digital Publishing,0.31,5-Dec-08,,,tbd,,Destination Software
Mario Strikers Charged,Wii,Sports,Nintendo,2.53,30-Jul-07,79.0,47.0,8.1,96.0,Next Level Games
Tomb Raider: Anniversary,PSP,Action,Eidos Interactive,0.54,9-Aug-07,78.0,32.0,8.2,16.0,Crystal Dynamics
Angry Birds Trilogy,PS3,Action,Activision,0.08,25-Sep-12,66.0,8.0,2.8,16.0,Rovio Mobile
UFC Undisputed 3,X360,Fighting,THQ,0.88,14-Feb-12,85.0,60.0,7.4,69.0,Yuke's
Yu-Gi-Oh! 5D's Tag Force 4,PSP,Strategy,Konami Digital Entertainment,0.42,,,,,,
Scribblenauts: Unlimited,WiiU,Action,Warner Bros. Interactive Entertainment,0.21,13-Nov-12,73.0,42.0,7.4,90.0,5TH Cell
Culdcept,3DS,Misc,Nintendo,0.15,,,,,,
Sega Rally Revo,X360,Racing,Sega,0.43,9-Oct-07,77.0,42.0,7.2,26.0,SEGA Racing Studio
Harukanaru Toki no Naka de 5: Kazahanaki,PSP,Role-Playing,Ackkstudios,0.03,,,,,,
Disney Epic Mickey 2: The Power of Two,X360,Action,Disney Interactive Studios,0.39,18-Nov-12,59.0,35.0,5,20.0,Blitz Games Studios
Shadow of the Colossus,PS3,Adventure,Sony Computer Entertainment,0.04,17-Jan-12,,,8.7,28.0,Bluepoint Games
Skate 2,PS3,Sports,Electronic Arts,0.79,21-Jan-09,84.0,50.0,7.9,41.0,EA Black Box
Disney Universe,Wii,Action,Disney Interactive Studios,0.9,25-Oct-11,61.0,11.0,5.8,4.0,Eurocom Entertainment Software
METRO 2033,X360,Shooter,THQ,0.5,16-Mar-10,77.0,83.0,8,295.0,4A Games
Backyard NFL Football '09,Wii,Sports,Atari,0.21,,,,,,
Rockstar Games presents Table Tennis,Wii,Sports,Take-Two Interactive,1.25,16-Oct-07,68.0,36.0,5.8,20.0,Rockstar San Diego
Pocket Racers,PSP,Racing,Konami Digital Entertainment,0.01,14-Nov-06,39.0,16.0,tbd,,Konami
Beowulf: The Game,PS3,Action,Ubisoft,0.15,13-Nov-07,51.0,18.0,4.9,12.0,Ubisoft
Transformers: The Game,Wii,Action,Activision,0.5,26-Jun-07,53.0,28.0,5.5,22.0,Traveller's Tales
Rugby World Cup 2011,X360,Sports,505 Games,0.25,1-Sep-11,55.0,14.0,4,11.0,HB Studios Multimedia
Link's Crossbow Training,Wii,Shooter,Nintendo,4.94,19-Nov-07,68.0,34.0,7.4,37.0,Nintendo
Storm Lover 2nd,PSP,Misc,D3Publisher,0.02,,,,,,
The Simpsons Game,Wii,Action,Electronic Arts,0.99,30-Oct-07,64.0,19.0,5.7,31.0,Electronic Arts
SingStar Abba,PS3,Misc,Sony Computer Entertainment,0.88,2-Dec-08,70.0,26.0,5.5,4.0,SCEE London Studio
Fate/Tiger Colosseum Upper,PSP,Fighting,Capcom,0.06,,,,,,
Samurai Warriors 2,X360,Action,Tecmo Koei,0.07,19-Sep-06,52.0,30.0,8.4,14.0,Omega Force
Port Royale 3,X360,Simulation,Kalypso Media,0.04,9-Oct-12,56.0,11.0,4.5,6.0,Kalypso
Hokuto no Ken: Raoh Gaiden - Ten no Haoh,PSP,Action,Interchannel,0.01,,,,,,
James Cameron's Avatar: The Game,Wii,Action,Ubisoft,0.69,1-Dec-09,60.0,19.0,3.8,12.0,Ubisoft
Rapala's Fishing Frenzy,Wii,Sports,Activision,0.22,2-Sep-08,61.0,5.0,tbd,,FUN Labs
Virtua Tennis 2009,X360,Sports,Sega,0.32,9-Jun-09,70.0,43.0,5.9,14.0,Sumo Digital
CID The Dummy,Wii,Platform,Oxygen Interactive,0.02,7-Jul-09,31.0,7.0,tbd,,Twelve Games
Assassin's Creed,PS3,Adventure,Ubisoft,4.66,13-Nov-07,81.0,40.0,7.4,552.0,Ubisoft Montreal
Dream Salon,Wii,Misc,Zoo Games,0.05,3-Nov-09,,,tbd,,Zoo Games
Prince of Persia Trilogy,PS3,Action,Ubisoft,0.41,,,,,,
Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,PSP,Adventure,Idea Factory,0.02,,,,,,
Dragon Ball Z: Burst Limit,PS3,Fighting,Atari,0.82,10-Jun-08,71.0,32.0,6.9,35.0,"Dimps Corporation, Namco Bandai Games"
Resident Evil: The Umbrella Chronicles,Wii,Shooter,Capcom,1.5,13-Nov-07,75.0,47.0,7.6,101.0,Cavia Inc.
StormLover,PSP,Adventure,D3Publisher,0.03,,,,,,
Vantage Master Portable,PSP,Role-Playing,Falcom Corporation,0.02,,,,,,
Star Fox 64 3D,3DS,Shooter,Nintendo,0.78,9-Sep-11,81.0,65.0,8,142.0,Nintendo
NBA 2K9,X360,Sports,Take-Two Interactive,1.26,7-Oct-08,84.0,32.0,7.4,41.0,Visual Concepts
Super Mario All-Stars: Limited Edition,Wii,Platform,Nintendo,2.53,,,,,,
Winter Sports 3: The Great Tournament,Wii,Sports,Tradewest,0.04,,,,,,
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,4.01,29-May-07,90.0,66.0,8.4,334.0,Turn 10
Hitman: HD Trilogy,X360,Action,Square Enix,0.12,29-Jan-13,69.0,14.0,7.5,35.0,Io Interactive
Scooby-Doo! First Frights,Wii,Adventure,Warner Bros. Interactive Entertainment,0.86,,,,,,
God of War: Chains of Olympus,PSP,Action,Sony Computer Entertainment,3.13,4-Mar-08,91.0,79.0,8.8,439.0,Ready at Dawn
Monster Trucks Mayhem,Wii,Racing,Zoo Games,0.39,15-Sep-09,,,tbd,,Zoo Games
Dora's Big Birthday Adventure,Wii,Misc,Take-Two Interactive,0.09,26-Oct-10,,,tbd,,2K Play
Blitz: The League II,X360,Sports,Midway Games,0.09,13-Oct-08,68.0,34.0,6.8,9.0,Midway
NCAA Football 10,PSP,Sports,Electronic Arts,0.2,14-Jul-09,,,tbd,,EA Tiburon
Dynasty Warriors 7: Empires,PS3,Action,Ubisoft Annecy,0.14,26-Feb-13,63.0,20.0,8.1,20.0,Omega Force
Star Wars: Lethal Alliance,PSP,Action,Ubisoft,0.12,7-Dec-06,61.0,31.0,8,5.0,Ubisoft Montreal
Summer Sports 2: Island Sports Party,Wii,Sports,Ubisoft,0.26,18-Dec-08,,,tbd,,Destineer
Resident Evil: Revelations,WiiU,Action,Capcom,0.08,21-May-13,80.0,19.0,7.3,75.0,Capcom
SoulCalibur V,X360,Fighting,Namco Bandai Games,0.52,31-Jan-12,77.0,56.0,6.3,99.0,Project Soul
Hellboy: The Science of Evil,PSP,Action,Konami Digital Entertainment,0.04,24-Jun-08,42.0,14.0,7.3,12.0,Krome Studios
MAG: Massive Action Game,PS3,Shooter,Sony Computer Entertainment,1.3,,,,,,
Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita,PSP,Role-Playing,Nippon Ichi Software,0.03,,,,,,
Driver: San Francisco,PS3,Racing,Ubisoft,0.83,6-Sep-11,79.0,53.0,7.5,85.0,Ubisoft Reflections
DMC,PS3,Action,Capcom,0.67,15-Jan-13,85.0,40.0,4.9,1197.0,Ninja Theory
Journey,PS3,Adventure,Sony Computer Entertainment Europe,0.1,13-Mar-12,92.0,78.0,8.7,985.0,ThatGameCompany
Shiren the Wanderer,Wii,Role-Playing,Sega,0.19,9-Feb-10,71.0,21.0,7.5,4.0,ChunSoft
Dungeon Hunter Alliance,PSV,Action,Ubisoft,0.15,15-Feb-12,49.0,34.0,6.3,47.0,Ubisoft
Lego City Undercover,3DS,Action,Nintendo,0.96,21-Apr-13,62.0,44.0,6.4,48.0,Traveller's Tales
FIFA Soccer 14,Wii,Sports,Electronic Arts,0.26,,,,,,
Winning Post 7 2009,PSP,Sports,Tecmo Koei,0.03,,,,,,
Skylanders SWAP Force,XOne,Platform,Activision,0.12,19-Nov-13,,,6.5,30.0,"Vicarious Visions, Vicarious Visions"
Dynasty Warriors 7,X360,Action,Tecmo Koei,0.21,29-Mar-11,58.0,22.0,7.8,39.0,Omega Force
AKB1/149: Love Election,PS3,Adventure,Namco Bandai Games,0.06,,,,,,
EA Sports Active 2,PS3,Sports,Electronic Arts,0.84,16-Nov-10,78.0,20.0,5,12.0,EA Canada
Dungeon Explorer: Warriors of Ancient Arts,PSP,Role-Playing,Rising Star Games,0.01,15-Feb-08,56.0,13.0,tbd,,Hudson Soft
Mind 0,PSV,Role-Playing,GungHo,0.04,,,,,,
Metal Gear Solid: Snake Eater 3D,3DS,Action,Konami Digital Entertainment,0.27,21-Feb-12,78.0,46.0,7.7,103.0,Kojima Productions
Medal of Honor: Warfighter,PS3,Action,Electronic Arts,1.13,23-Oct-12,55.0,22.0,5.9,207.0,Danger Close
