nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Call of Duty: Black Ops,X360,Shooter,Activision,13.97,9-Nov-10,87.0,89.0,6,1267.0,Treyarch
Call of Duty: Black Ops,PS3,Shooter,Activision,12.08,9-Nov-10,88.0,58.0,6,850.0,Treyarch
Zumba Fitness,Wii,Sports,505 Games,6.53,18-Nov-10,,,tbd,,"Pipeworks Software, Inc."
Donkey Kong Country Returns,Wii,Platform,Nintendo,6.1,21-Nov-10,87.0,77.0,8.5,260.0,Retro Studios
FIFA Soccer 11,PS3,Sports,Electronic Arts,5.0,28-Sep-10,89.0,51.0,8.1,197.0,EA Sports
Michael Jackson: The Experience,Wii,Misc,Ubisoft,4.27,23-Nov-10,56.0,37.0,7.8,23.0,"Ubisoft Montpellier, Ubisoft Paris"
FIFA Soccer 11,X360,Sports,Electronic Arts,3.48,28-Sep-10,88.0,66.0,7.4,130.0,EA Sports
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,3.37,2-Mar-10,88.0,75.0,8.7,789.0,EA DICE
Mass Effect 2,X360,Role-Playing,Electronic Arts,3.02,26-Jan-10,96.0,98.0,8.9,2776.0,BioWare
Battlefield: Bad Company 2,PS3,Shooter,Electronic Arts,2.84,2-Mar-10,88.0,59.0,8.6,476.0,EA DICE
Medal of Honor,PS3,Shooter,Electronic Arts,2.71,12-Oct-10,75.0,56.0,7.6,235.0,"Danger Close, EA DICE"
Madden NFL 11,X360,Sports,Electronic Arts,2.62,10-Aug-10,84.0,47.0,5.7,120.0,EA Tiburon
Medal of Honor,X360,Shooter,Electronic Arts,2.53,12-Oct-10,74.0,71.0,6.7,265.0,"Danger Close, Dice"
pro evolution soccer 2011,PS3,Sports,Konami Digital Entertainment,2.38,19-Oct-10,77.0,41.0,6.7,70.0,Konami
Madden NFL 11,PS3,Sports,Electronic Arts,2.31,10-Aug-10,83.0,36.0,6,61.0,EA Tiburon
LEGO Harry Potter: Years 1-4,Wii,Adventure,Warner Bros. Interactive Entertainment,2.29,29-Jun-10,79.0,13.0,8,26.0,Traveller's Tales
Zumba Fitness,X360,Sports,505 Games,2.18,18-Nov-10,42.0,10.0,6,13.0,"Pipeworks Software, Inc."
Final Fantasy XIII,X360,Role-Playing,Square Enix,2.04,9-Mar-10,82.0,54.0,6.2,439.0,Square Enix
NBA 2K11,X360,Sports,Take-Two Interactive,2.02,5-Oct-10,89.0,50.0,8,88.0,Visual Concepts
Skate 3,X360,Sports,Electronic Arts,1.82,11-May-10,80.0,65.0,7.5,71.0,EA Black Box
NBA 2K11,PS3,Sports,Take-Two Interactive,1.72,5-Oct-10,89.0,46.0,7.4,85.0,Visual Concepts
Just Cause 2,PS3,Action,Square Enix,1.63,23-Mar-10,83.0,66.0,8.1,233.0,Avalanche Studios
Skate 3,PS3,Sports,Electronic Arts,1.52,11-May-10,80.0,46.0,7.3,44.0,EA Black Box
Just Cause 2,X360,Action,Square Enix,1.49,23-Mar-10,81.0,74.0,8.1,214.0,Avalanche Studios
Dead Rising 2,X360,Action,Capcom,1.39,28-Sep-10,79.0,76.0,7.1,165.0,Blue Castle Games
Mafia II,X360,Action,Take-Two Interactive,1.38,24-Aug-10,74.0,79.0,7.6,323.0,2K Czech
UFC Undisputed 2010,PS3,Fighting,THQ,1.36,25-May-10,85.0,54.0,7.1,43.0,Yuke's
Mafia II,PS3,Action,Take-Two Interactive,1.33,24-Aug-10,75.0,61.0,7.6,216.0,2K Czech
Super Street Fighter IV,PS3,Fighting,Capcom,1.33,27-Apr-10,92.0,58.0,7.7,154.0,Capcom
Star Wars: The Force Unleashed II,PS3,Action,LucasArts,1.33,26-Oct-10,63.0,41.0,7,85.0,LucasArts
Toy Story 3: The Video Game,Wii,Action,Disney Interactive Studios,1.3,,,,,,
Call of Duty: Black Ops,Wii,Shooter,Activision,1.3,9-Nov-10,80.0,25.0,5.5,75.0,Treyarch
Dead Rising 2,PS3,Action,Capcom,1.29,28-Sep-10,80.0,54.0,6.7,148.0,Blue Castle Games
Star Wars: The Force Unleashed II,X360,Action,LucasArts,1.27,26-Oct-10,61.0,59.0,5.7,137.0,LucasArts
UFC Undisputed 2010,X360,Fighting,THQ,1.27,25-May-10,84.0,70.0,6.5,69.0,Yuke's
LEGO Harry Potter: Years 1-4,X360,Adventure,Warner Bros. Interactive Entertainment,1.26,29-Jun-10,79.0,58.0,8,56.0,Traveller's Tales
Sonic & SEGA All-Stars Racing,Wii,Racing,Sega,1.26,,,,,,
EA Sports Active 2,Wii,Sports,Electronic Arts,1.21,16-Nov-10,79.0,8.0,8.1,20.0,EA Canada
FIFA Soccer 11,PSP,Sports,Electronic Arts,1.16,28-Sep-10,68.0,6.0,5.7,7.0,EA Sports
LEGO Harry Potter: Years 1-4,PS3,Adventure,Warner Bros. Interactive Entertainment,1.09,29-Jun-10,79.0,42.0,7.9,32.0,Traveller's Tales
FIFA Soccer 11,Wii,Sports,Electronic Arts,1.06,4-Oct-10,73.0,17.0,7.3,7.0,EA Sports
WWE SmackDown vs. Raw 2011,PS3,Fighting,THQ,1.03,26-Oct-10,74.0,42.0,6.7,32.0,Yuke's
Dante's Inferno,PS3,Action,Electronic Arts,1.01,9-Feb-10,75.0,69.0,7.3,190.0,Visceral Games
Dance on Broadway,Wii,Misc,Ubisoft,0.98,15-Jun-10,48.0,6.0,tbd,,Longtail Studios
Toy Story 3: The Video Game,PS3,Action,Disney Interactive Studios,0.96,,,,,,
Castlevania: Lords of Shadow,PS3,Action,Konami Digital Entertainment,0.92,5-Oct-10,85.0,62.0,8,328.0,Mercury Steam
NCAA Football 11,X360,Sports,Electronic Arts,0.89,13-Jul-10,86.0,29.0,7.2,68.0,EA Tiburon
Super Street Fighter IV,X360,Fighting,Capcom,0.87,27-Apr-10,91.0,55.0,7.6,97.0,Capcom
Army of Two: The 40th Day,X360,Shooter,Electronic Arts,0.87,12-Jan-10,73.0,79.0,7.3,104.0,EA Montreal
Dante's Inferno,X360,Action,Electronic Arts,0.87,9-Feb-10,73.0,71.0,7.6,181.0,Visceral Games
EA Sports Active 2,PS3,Sports,Electronic Arts,0.84,16-Nov-10,78.0,20.0,5,12.0,EA Canada
WWE SmackDown vs. Raw 2011,X360,Fighting,THQ,0.84,26-Oct-10,75.0,49.0,7.5,31.0,Yuke's
Sonic & SEGA All-Stars Racing,PS3,Racing,Sega,0.82,,,,,,
NCAA Football 11,PS3,Sports,Electronic Arts,0.81,13-Jul-10,85.0,22.0,7.4,24.0,EA Tiburon
Tiger Woods PGA Tour 11,PS3,Sports,Electronic Arts,0.79,8-Jun-10,78.0,40.0,6.6,16.0,EA Sports
Rock Band 3,X360,Misc,MTV Games,0.79,26-Oct-10,93.0,57.0,8.1,118.0,Harmonix Music Systems
Army of Two: The 40th Day,PS3,Shooter,Electronic Arts,0.79,12-Jan-10,74.0,56.0,7.1,58.0,EA Montreal
pro evolution soccer 2011,PSP,Sports,Konami Digital Entertainment,0.79,2-Nov-10,74.0,10.0,5.8,4.0,Konami
Hasbro Family Game Night 3,Wii,Misc,Electronic Arts,0.75,26-Oct-10,,,tbd,,Electronic Arts
NHL 11,X360,Sports,Electronic Arts,0.7,7-Sep-10,88.0,49.0,7.8,64.0,Electronic Arts
MLB 10: The Show,PS3,Sports,Sony Computer Entertainment,0.69,2-Mar-10,91.0,33.0,8.3,96.0,SCEA
Star Wars: The Force Unleashed II,Wii,Action,LucasArts,0.68,26-Oct-10,71.0,10.0,7.8,26.0,"LucasArts, Red Fly Studio"
Toy Story 3: The Video Game,X360,Action,Disney Interactive Studios,0.67,,,,,,
Dragon Ball: Raging Blast 2,PS3,Fighting,Namco Bandai Games,0.66,2-Nov-10,60.0,27.0,6.5,31.0,Spike
WWE SmackDown vs. Raw 2011,PSP,Fighting,THQ,0.66,26-Oct-10,,,tbd,,Yuke's
LEGO Harry Potter: Years 1-4,PSP,Adventure,Warner Bros. Interactive Entertainment,0.65,29-Jun-10,71.0,4.0,tbd,,TT Fusion
Prince of Persia: The Forgotten Sands,PS3,Action,Ubisoft,0.63,18-May-10,75.0,49.0,7.6,90.0,Ubisoft Montreal
Disney Sing It: Party Hits,Wii,Misc,Disney Interactive Studios,0.62,12-Oct-10,,,tbd,,Disney Interactive Studios
pro evolution soccer 2011,X360,Sports,Konami Digital Entertainment,0.6,19-Oct-10,79.0,43.0,5.9,28.0,Konami
Toy Story 3: The Video Game,PSP,Action,Disney Interactive Studios,0.59,,,,,,
Rock Band 3,Wii,Misc,MTV Games,0.58,26-Oct-10,91.0,10.0,7.1,32.0,Backbone Entertainment
Prince of Persia: The Forgotten Sands,X360,Action,Ubisoft,0.58,18-May-10,74.0,69.0,7.7,87.0,Ubisoft Montreal
Castlevania: Lords of Shadow,X360,Action,Konami Digital Entertainment,0.57,5-Oct-10,83.0,70.0,7.9,181.0,Mercury Steam
Vanquish,PS3,Adventure,Sega,0.56,19-Oct-10,84.0,61.0,8,214.0,PlatinumGames
NHL 11,PS3,Sports,Electronic Arts,0.56,7-Sep-10,88.0,38.0,7.1,46.0,Electronic Arts
Kane & Lynch 2: Dog Days,PS3,Shooter,Square Enix,0.55,,,,,,
NieR,PS3,Role-Playing,Square Enix,0.53,27-Apr-10,68.0,58.0,8.3,165.0,Cavia Inc.
Dragon Ball: Raging Blast 2,X360,Fighting,Namco Bandai Games,0.52,2-Nov-10,57.0,33.0,7.1,16.0,Spike
Rock Band 3,PS3,Misc,MTV Games,0.52,26-Oct-10,91.0,34.0,7.8,78.0,Harmonix Music Systems
Tiger Woods PGA Tour 11,Wii,Sports,Electronic Arts,0.52,8-Jun-10,84.0,29.0,8.2,24.0,EA Sports
Enslaved: Odyssey to the West,X360,Action,Namco Bandai Games,0.51,5-Oct-10,82.0,72.0,7.9,237.0,Ninja Theory
Harry Potter and the Deathly Hallows - Part 1,Wii,Action,Electronic Arts,0.51,16-Nov-10,41.0,8.0,5,11.0,Electronic Arts
Monster Jam: Path of Destruction,Wii,Racing,Activision,0.5,9-Nov-10,,,tbd,,Virtuos
Enslaved: Odyssey to the West,PS3,Action,Namco Bandai Games,0.5,5-Oct-10,80.0,53.0,7.5,230.0,Ninja Theory
Zumba Fitness,PS3,Sports,505 Games,0.49,18-Nov-10,,,tbd,,"Pipeworks Software, Inc."
Tiger Woods PGA Tour 11,X360,Sports,Electronic Arts,0.49,8-Jun-10,79.0,51.0,7.7,17.0,EA Sports
Major League Baseball 2K10,X360,Sports,Take-Two Interactive,0.48,2-Mar-10,76.0,26.0,7.6,37.0,Visual Concepts
NBA 2K11,Wii,Sports,Take-Two Interactive,0.47,19-Oct-10,,,tbd,,Visual Concepts
Kane & Lynch 2: Dog Days,X360,Shooter,Square Enix,0.45,,,,,,
WWE SmackDown vs. Raw 2011,Wii,Fighting,THQ,0.44,26-Oct-10,72.0,7.0,tbd,,Yuke's
Dragon Age Origins: Awakening,X360,Role-Playing,Electronic Arts,0.44,,,,,,
Brunswick Pro Bowling,X360,Sports,505 Games,0.42,15-Feb-11,44.0,4.0,tbd,,Crave
Harry Potter and the Deathly Hallows - Part 1,X360,Action,Electronic Arts,0.41,16-Nov-10,38.0,42.0,5.5,34.0,EA Bright Light
Naughty Bear,PS3,Action,505 Games,0.39,25-Jun-10,43.0,31.0,5.5,41.0,Artificial Mind and Movement
NBA 2K11,PSP,Sports,Take-Two Interactive,0.39,5-Oct-10,,,6.3,4.0,Visual Concepts
Alpha Protocol,PS3,Role-Playing,Sega,0.39,1-Jun-10,64.0,49.0,6.6,96.0,Obsidian Entertainment
Vanquish,X360,Adventure,Sega,0.38,19-Oct-10,84.0,70.0,8.4,142.0,PlatinumGames
Naughty Bear,X360,Action,505 Games,0.37,25-Jun-10,43.0,51.0,5.5,65.0,Artificial Mind and Movement
NBA Jam,Wii,Sports,Electronic Arts,0.37,5-Oct-10,79.0,43.0,8.3,16.0,EA Canada
Iron Man 2,PSP,Action,Sega,0.37,4-May-10,49.0,8.0,tbd,,High Voltage Software
Tom Clancy's HAWX 2,PS3,Action,Ubisoft,0.37,7-Sep-10,70.0,30.0,6.8,13.0,Ubisoft
Atelier Totori: The Adventurer of Arland,PS3,Role-Playing,Nippon Ichi Software,0.37,27-Sep-11,74.0,19.0,6.6,94.0,Gust
Alpha Protocol,X360,Role-Playing,Sega,0.36,1-Jun-10,63.0,68.0,7.3,175.0,Obsidian Entertainment
EA Sports Active 2,X360,Sports,Electronic Arts,0.36,16-Nov-10,68.0,21.0,5.4,9.0,EA Canada
Prince of Persia: The Forgotten Sands,PSP,Action,Ubisoft,0.36,18-May-10,65.0,10.0,7.2,11.0,Ubisoft Quebec
Iron Man 2,PS3,Action,Sega,0.35,4-May-10,41.0,28.0,5.1,30.0,Sega Studios San Francisco
Madden NFL 11,PSP,Sports,Electronic Arts,0.35,10-Aug-10,,,tbd,,EA Tiburon
Tom Clancy's HAWX 2,X360,Action,Ubisoft,0.34,7-Sep-10,68.0,57.0,6.2,27.0,Ubisoft
Rapala Pro Bass Fishing 2010,X360,Sports,Activision,0.34,28-Sep-10,,,tbd,,FUN Labs
Get Fit with Mel B,PS3,Sports,Black Bean Games,0.33,20-Oct-10,73.0,4.0,tbd,,Lightning Fish Games
NBA Jam,X360,Sports,Electronic Arts,0.33,15-Nov-10,75.0,30.0,6.6,19.0,EA Canada
EA Sports MMA,PS3,Fighting,Electronic Arts,0.33,19-Oct-10,77.0,47.0,6.6,31.0,EA Tiburon
NBA Jam,PS3,Sports,Electronic Arts,0.32,15-Nov-10,71.0,33.0,5.7,14.0,EA Canada
Harry Potter and the Deathly Hallows - Part 1,PS3,Action,Electronic Arts,0.32,16-Nov-10,38.0,27.0,2.6,16.0,EA Bright Light
Iron Man 2,Wii,Action,Sega,0.31,4-May-10,41.0,11.0,4.8,10.0,"Sega Studios, San Francisco"
Army of Two: The 40th Day,PSP,Shooter,Electronic Arts,0.31,12-Jan-10,49.0,11.0,6.1,26.0,EA Montreal
Def Jam Rapstar,Wii,Misc,Konami Digital Entertainment,0.29,5-Oct-10,65.0,5.0,tbd,,"4mm Games, Terminal Reality"
EA Sports MMA,X360,Fighting,Electronic Arts,0.28,19-Oct-10,79.0,63.0,7,47.0,EA Tiburon
Ben 10 Ultimate Alien: Cosmic Destruction,Wii,Platform,D3Publisher,0.27,5-Oct-10,,,tbd,,Papaya Studios
Def Jam Rapstar,PS3,Misc,Konami Digital Entertainment,0.27,5-Oct-10,75.0,25.0,tbd,,"4mm Games, Terminal Reality"
Silent Hill: Shattered Memories,PSP,Adventure,Konami Digital Entertainment,0.26,19-Jan-10,73.0,28.0,7.5,24.0,Climax Group
NieR,X360,Role-Playing,Square Enix,0.26,27-Apr-10,67.0,60.0,8.5,82.0,Cavia Inc.
Major League Baseball 2K10,Wii,Sports,Take-Two Interactive,0.26,2-Mar-10,53.0,4.0,tbd,,Visual Concepts
Clash of the Titans: The Videogame,PS3,Action,Namco Bandai Games,0.25,,,,,,
Majin and the Forsaken Kingdom,PS3,Adventure,Namco Bandai Games,0.25,23-Nov-10,72.0,49.0,7.5,25.0,Game Republic
Dragon Age Origins: Awakening,PS3,Role-Playing,Spike,0.24,,,,,,
Iron Man 2,X360,Action,Sega,0.24,4-May-10,41.0,35.0,6.1,45.0,Sega Studios San Francisco
Marvel Super Hero Squad: The Infinity Gauntlet,Wii,Action,THQ,0.24,16-Nov-10,49.0,6.0,tbd,,THQ
EyePet,PSP,Simulation,Sony Computer Entertainment,0.24,2-Nov-10,57.0,19.0,tbd,,SCEE London Studio
Def Jam Rapstar,X360,Misc,Konami Digital Entertainment,0.24,5-Oct-10,74.0,36.0,5.4,9.0,"4mm Games, Terminal Reality"
Prison Break: The Conspiracy,PS3,Adventure,Deep Silver,0.23,30-Mar-10,42.0,33.0,3.7,17.0,ZootFly
Minute to Win It,Wii,Misc,Zoo Games,0.23,5-Nov-10,,,tbd,,Zoo Games
Rapala Pro Bass Fishing 2010,PS3,Sports,Activision,0.22,28-Sep-10,,,tbd,,FUN Labs
Create,Wii,Misc,Electronic Arts,0.22,16-Nov-10,62.0,7.0,tbd,,EA Bright Light
Hasbro Family Game Night 3,PS3,Misc,Electronic Arts,0.22,26-Oct-10,,,tbd,,Electronic Arts
Prince of Persia: The Forgotten Sands,Wii,Action,Ubisoft,0.22,18-May-10,77.0,24.0,8.1,26.0,Ubisoft Quebec
Rapala Pro Bass Fishing 2010,Wii,Sports,Activision,0.22,28-Sep-10,,,tbd,,FUN Labs
Ben 10 Ultimate Alien: Cosmic Destruction,PSP,Platform,D3Publisher,0.22,5-Oct-10,,,tbd,,Papaya Studios
pro evolution soccer 2011,Wii,Sports,Konami Digital Entertainment,0.21,23-Nov-10,78.0,9.0,5,6.0,Konami
Pure Futbol,PS3,Sports,Ubisoft,0.21,1-Jun-10,46.0,12.0,7.4,29.0,Ubisoft Vancouver
The Lord of the Rings: Aragorn's Quest,Wii,Action,Warner Bros. Interactive Entertainment,0.21,14-Sep-10,58.0,22.0,7.8,5.0,Headstrong Games
Monster Jam: Path of Destruction,PS3,Racing,Activision,0.21,9-Nov-10,,,6.3,4.0,Virtuos
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,Platform,D3Publisher,0.21,5-Oct-10,,,tbd,,Papaya Studios
Bass Pro Shops: The Hunt,Wii,Sports,XS Games,0.21,2-Jun-10,,,tbd,,Griffin International
CSI: Fatal Conspiracy,Wii,Adventure,Ubisoft,0.21,26-Oct-10,,,tbd,,Telltale Games
SBK X: Superbike World Championship,PS3,Racing,Black Bean Games,0.19,7-Dec-10,73.0,5.0,tbd,,Milestone S.r.l
Hasbro Family Game Night 3,X360,Misc,Electronic Arts,0.19,26-Oct-10,,,tbd,,Electronic Arts
Cabela's North American Adventures,Wii,Sports,Activision,0.19,14-Sep-10,,,tbd,,FUN Labs
Prison Break: The Conspiracy,X360,Adventure,Deep Silver,0.19,1-Apr-10,40.0,37.0,4.4,15.0,ZootFly
UFC Undisputed 2010,PSP,Fighting,THQ,0.18,7-Sep-10,74.0,27.0,6.9,9.0,Yuke's
MLB 10: The Show,PSP,Sports,Sony Computer Entertainment,0.18,2-Mar-10,79.0,11.0,8.2,6.0,SCEA
Major League Baseball 2K10,PS3,Sports,Take-Two Interactive,0.18,2-Mar-10,74.0,19.0,5.3,4.0,Visual Concepts
Majin and the Forsaken Kingdom,X360,Adventure,Namco Bandai Games,0.17,23-Nov-10,74.0,46.0,8.6,19.0,Game Republic
International Cricket 2010,PS3,Sports,Codemasters,0.17,,,,,,
Dante's Inferno,PSP,Action,Electronic Arts,0.17,1-Mar-10,70.0,14.0,8.3,35.0,EA Redwood Shores
Plants vs. Zombies,X360,Strategy,PopCap Games,0.17,28-Sep-10,89.0,27.0,8.2,136.0,PopCap
Pure Futbol,X360,Sports,Ubisoft,0.16,1-Jun-10,38.0,20.0,7.8,25.0,Ubisoft Vancouver
Ben 10 Ultimate Alien: Cosmic Destruction,X360,Platform,D3Publisher,0.16,19-Oct-10,51.0,5.0,tbd,,Papaya Studios
Splatterhouse,X360,Action,Namco Bandai Games,0.16,23-Nov-10,62.0,51.0,7.6,49.0,Namco Bandai Games America
No More Heroes: Heroes' Paradise,PS3,Action,Konami Digital Entertainment,0.16,16-Aug-11,72.0,38.0,7.4,30.0,FeelPlus
CSI: Fatal Conspiracy,PS3,Adventure,Ubisoft,0.15,26-Oct-10,39.0,5.0,4.5,4.0,Telltale Games
CSI: Fatal Conspiracy,X360,Adventure,Ubisoft,0.15,26-Oct-10,42.0,9.0,tbd,,Telltale Games
SBK X: Superbike World Championship,X360,Racing,Black Bean Games,0.15,7-Dec-10,74.0,14.0,8.3,8.0,Milestone S.r.l
Saw II: Flesh & Blood,PS3,Action,Konami Digital Entertainment,0.15,,,,,,
Shaun White Skateboarding,Wii,Sports,Ubisoft,0.15,24-Oct-10,59.0,6.0,tbd,,Ubisoft Montreal
Bakugan Battle Brawlers: Defenders of the Core,Wii,Action,Activision,0.14,26-Oct-10,,,tbd,,Now Production
Brunswick Pro Bowling,PS3,Sports,505 Games,0.14,22-Sep-10,47.0,6.0,tbd,,Farsight Studios
Sid Meier's Pirates!,Wii,Strategy,Take-Two Interactive,0.14,,,,,,
Clash of the Titans: The Videogame,X360,Action,Namco Bandai Games,0.14,,,,,,
Shaun White Skateboarding,X360,Sports,Ubisoft,0.14,24-Oct-10,61.0,34.0,4.5,4.0,Ubisoft Montreal
Saw II: Flesh & Blood,X360,Action,Konami Digital Entertainment,0.13,,,,,,
Ken to Mahou to Gakuen Mono. 3,PSP,Role-Playing,Acquire,0.13,,,,,,
Shaun White Skateboarding,PS3,Sports,Ubisoft,0.13,24-Oct-10,61.0,26.0,5.5,6.0,Ubisoft Montreal
Michael Jackson: The Experience,PSP,Misc,Ubisoft,0.13,23-Nov-10,,,tbd,,Ubisoft
The Lord of the Rings: Aragorn's Quest,PS3,Action,Warner Bros. Interactive Entertainment,0.13,14-Sep-10,58.0,12.0,5.5,6.0,TT Fusion
International Cricket 2010,X360,Sports,Codemasters,0.13,,,,,,
Marvel Super Hero Squad: The Infinity Gauntlet,PS3,Action,THQ,0.12,16-Nov-10,54.0,6.0,tbd,,THQ
Bakugan Battle Brawlers: Defenders of the Core,PSP,Action,Activision,0.12,26-Oct-10,,,tbd,,Now Production
Bakugan Battle Brawlers: Defenders of the Core,PS3,Action,Activision,0.12,26-Oct-10,50.0,7.0,tbd,,Now Production
